,0,1,2,3
0,LeBron James,54.9,"$11,700",4.69
1,Giannis Antetokounmpo,52.6,"$11,100",4.74
2,Ben Simmons,51.6,"$9,300",5.55
3,Nikola Jokic,48.2,"$9,100",5.29
4,Damian Lillard,45.1,"$8,500",5.3
5,Kyrie Irving,41.8,"$8,400",4.98
6,Kevin Love,39.5,"$8,000",4.93
7,Louis Williams,39.1,"$7,300",5.35
8,Dennis Schroder,36.3,"$7,500",4.84
9,Eric Bledsoe,34.9,"$6,800",5.14
10,Al Horford,34.9,"$6,800",5.13
11,Donovan Mitchell,33.9,"$6,900",4.91
12,C.J. McCollum,33.9,"$6,700",5.06
13,DeAndre Jordan,33.2,"$7,100",4.68
14,Khris Middleton,33.1,"$6,500",5.08
15,John Collins,32.8,"$5,500",5.96
16,Jusuf Nurkic,32.2,"$6,700",4.81
17,Robert Covington,31.4,"$6,200",5.06
18,Jayson Tatum,31.3,"$5,900",5.3
19,Ricky Rubio,30.3,"$5,700",5.32
20,Kris Dunn,29.6,"$6,000",4.94
21,Gary Harris,29.5,"$5,600",5.27
22,Dario Saric,29.4,"$4,900",6
23,Lauri Markkanen,29.3,"$6,400",4.58
24,Will Barton,29.1,"$6,500",4.47
25,Derrick Favors,28.5,"$6,600",4.32
26,Jaylen Brown,27.9,"$6,100",4.57
27,Taurean Prince,27.9,"$4,800",5.81
28,Denzel Valentine,27.0,"$5,800",4.65
29,Marcus Smart,26.8,"$5,200",5.16
30,Justin Holiday,26.8,"$5,800",4.62
31,Austin Rivers,26.7,"$5,500",4.85
32,J.J. Redick,25.9,"$5,000",5.17
33,Dwyane Wade,25.4,"$5,600",4.53
34,John Henson,25.1,"$4,700",5.34
35,Kent Bazemore,25.1,"$5,400",4.64
36,Joe Ingles,25.1,"$4,900",5.11
37,Jamal Murray,24.7,"$5,000",4.95
38,Robin Lopez,24.6,"$4,900",5.02
39,Wesley Johnson,24.0,"$4,400",5.44
40,Marco Belinelli,23.4,"$4,200",5.57
41,Jerryd Bayless,22.2,"$3,400",6.54
42,Malcolm Brogdon,22.0,"$5,000",4.41
43,Juan Hernangomez,21.4,"$3,700",5.78
44,Amir Johnson,20.9,"$3,800",5.49
45,J.R. Smith,20.8,"$4,100",5.07
46,Alec Burks,20.0,"$3,600",5.54
47,Jeff Green,19.9,"$3,800",5.22
48,Bobby Portis,19.8,"$5,000",3.95
49,Kenneth Faried,19.1,"$4,300",4.45
50,Richaun Holmes,18.9,"$4,000",4.73
51,Sam Dekker,18.4,"$3,500",5.26
52,Jonas Jerebko,18.1,"$4,000",4.51
53,Thabo Sefolosha,17.9,"$3,900",4.6
54,Emmanuel Mudiay,17.9,"$3,900",4.58
55,Aron Baynes,17.7,"$3,500",5.06
56,Noah Vonleh,17.7,"$4,000",4.42
57,Tony Snell,17.4,"$3,800",4.57
58,Marcus Morris,17.3,"$4,700",3.67
59,Pat Connaughton,17.3,"$3,400",5.07
60,Terry Rozier,17.2,"$4,100",4.19
61,David Nwaba,17.0,"$4,000",4.24
62,Al-Farouq Aminu,17.0,"$4,600",3.68
63,Jae Crowder,16.8,"$3,900",4.3
64,Jerian Grant,16.1,"$4,600",3.49
65,Kyle Korver,16.0,"$3,600",4.45
66,Mason Plumlee,16.0,"$3,500",4.56
67,Montrezl Harrell,15.9,"$3,500",4.54
68,Channing Frye,15.7,"$3,400",4.62
69,Timothe Luwawu,15.5,"$3,200",4.84
70,Ersan Ilyasova,15.4,"$3,700",4.15
71,Luke Babbitt,14.8,"$3,700",3.99
72,Thon Maker,14.4,"$3,800",3.79
73,Evan Turner,13.8,"$3,900",3.53
74,Trey Lyles,13.5,"$3,500",3.85
75,Shabazz Napier,12.9,"$3,600",3.57
76,Ed Davis,12.4,"$3,300",3.76
77,Jose Calderon,12.4,"$3,000",4.12
78,Willie Reed,12.3,"$3,000",4.1
79,Ekpe Udoh,12.1,"$3,000",4.03
80,Malcolm Delaney,11.7,"$3,400",3.43
81,Royce O'Neale,10.6,"$3,000",3.53
82,Sindarius Thornwell,10.4,"$3,200",3.23
83,Maurice Harkless,10.2,"$3,500",2.91
84,Matthew Dellavedova,10.2,"$3,200",3.18
85,DeAndre Bembry,10.1,"$3,200",3.14
86,Cristiano Felicio,9.9,"$3,000",3.28
87,Jawun Evans,8.9,"$3,000",2.97
88,Semi Ojeleye,8.6,"$3,200",2.69
89,Antonio Blakeney,7.8,"$3,100",2.52
90,Daniel Theis,7.5,"$3,400",2.21
91,Tyler Cavanaugh,7.4,"$3,300",2.23
92,C.J. Williams,6.3,"$3,000",2.1
93,Malik Beasley,5.9,"$3,000",1.95
94,Shane Larkin,5.7,"$3,200",1.78
95,DeAndre Liggins,4.9,"$3,500",1.39
96,Miles Plumlee,4.3,"$3,000",1.43
97,Isaiah Taylor,3.6,"$3,300",1.09
98,Ryan Arcidiacono,2.5,"$3,000",0.82
99,Kay Felder,2.1,"$3,000",0.68
100,Zach Collins,1.3,"$3,000",0.44
101,Jake Layman,1.0,"$3,000",0.34
102,Abdel Nader,1.0,"$3,000",0.33
103,Meyers Leonard,0.9,"$3,200",0.27
104,Quincy Pondexter,0.7,"$3,000",0.23
105,Caleb Swanigan,0.7,"$3,500",0.19
106,Nicolas Brussino,0.6,"$3,000",0.21
107,Gary Payton II,0.6,"$3,000",0.21
108,Tony Bradley,0.6,"$3,000",0.18
109,Josh Magette,0.5,"$3,000",0.16
110,Torrey Craig,0.4,"$3,000",0.13
111,Nate Wolters,0.4,"$3,000",0.13
112,Darrell Arthur,0.4,"$3,000",0.13
113,John Holland,0.4,"$3,000",0.12
114,Ante Zizic,0.3,"$3,200",0.1
115,Tyler Dorsey,0.3,"$3,000",0.08
116,Rashad Vaughn,0.3,"$3,000",0.08
117,Tyler Lydon,0.2,"$3,000",0.05
118,Jamil Wilson,0.2,"$3,000",0.05
119,Sterling Brown,0.2,"$3,000",0.05
120,Jason Terry,0.1,"$3,000",0.03
121,Joel Bolomboy,0.1,N/A,N/A
122,Furkan Korkmaz,0.1,"$3,000",0.02
123,Cedi Osman,0.1,"$3,000",0.02
124,Jahlil Okafor,0.0,"$3,000",0
125,Justin Anderson,0.0,"$3,000",0
126,T.J. McConnell,0.0,"$4,700",0
127,Guerschon Yabusele,0.0,"$3,000",0
128,James Michael McAdoo,0.0,"$3,000",0
129,Joel Embiid,0.0,"$9,500",0
130,Derrick Rose,0.0,"$3,800",0
131,Dewayne Dedmon,0.0,"$5,100",0
132,Tristan Thompson,0.0,"$3,800",0
133,Iman Shumpert,0.0,"$3,500",0
134,Mike Muscala,0.0,"$3,500",0
135,Nik Stauskas,0.0,"$3,000",0
136,Jacob Pullen,0.0,"$3,000",0
137,D.J. Wilson,0.0,"$3,000",0
138,C.J. Wilcox,0.0,"$3,000",0
139,Mirza Teletovic,0.0,"$3,200",0
140,Danilo Gallinari,0.0,"$5,700",0
141,Raul Neto,0.0,"$3,200",0
142,Brice Johnson,0.0,"$3,000",0
143,Rodney Hood,0.0,"$5,700",0
144,Monte Morris,0.0,"$3,000",0
145,Paul Zipser,0.0,"$3,500",0
146,Jabari Bird,0.0,"$3,000",0
147,Kadeem Allen,0.0,"$3,000",0
148,Wilson Chandler,0.0,"$4,800",0
149,Nikola Mirotic,0.0,"$5,000",0
150,Cameron Payne,0.0,"$3,000",0
151,Zach LaVine,0.0,"$4,700",0
152,Markelle Fultz,0.0,"$3,800",0
